fold	iteration	train_auc	val_auc
001	000001	0.659864	0.446809
001	000002	1.000000	0.553191
001	000003	1.000000	0.797872
001	000004	1.000000	0.779255
001	000005	1.000000	0.777926
001	000006	1.000000	0.789894
001	000007	1.000000	0.795213
001	000008	1.000000	0.784574
001	000009	1.000000	0.784574
001	000010	1.000000	0.784574
001	000011	1.000000	0.781915
001	000012	1.000000	0.781915
001	000013	1.000000	0.788564
001	000014	1.000000	0.792553
001	000015	1.000000	0.795213
001	000016	1.000000	0.789894
001	000017	1.000000	0.789894
001	000018	1.000000	0.789894
001	000019	1.000000	0.792553
001	000020	1.000000	0.780585
001	000021	1.000000	0.777926
001	000022	1.000000	0.772606
001	000023	1.000000	0.777926
001	000024	1.000000	0.777926
001	000025	1.000000	0.777926
001	000026	1.000000	0.777926
001	000027	1.000000	0.777926
001	000028	1.000000	0.777926
001	000029	1.000000	0.777926
001	000030	1.000000	0.777926
001	000031	1.000000	0.769947
001	000032	1.000000	0.769947
001	000033	1.000000	0.769947
001	000034	1.000000	0.769947
001	000035	1.000000	0.769947
001	000036	1.000000	0.769947
001	000037	1.000000	0.769947
001	000038	1.000000	0.768617
001	000039	1.000000	0.765957
001	000040	1.000000	0.765957
001	000041	1.000000	0.765957
001	000042	1.000000	0.765957
001	000043	1.000000	0.757979
001	000044	1.000000	0.763298
001	000045	1.000000	0.760638
001	000046	1.000000	0.763298
001	000047	1.000000	0.763298
001	000048	1.000000	0.763298
001	000049	1.000000	0.763298
001	000050	1.000000	0.763298
001	000051	1.000000	0.763298
001	000052	1.000000	0.763298
001	000053	1.000000	0.763298
001	000054	1.000000	0.763298
001	000055	1.000000	0.763298
001	000056	1.000000	0.765957
001	000057	1.000000	0.768617
001	000058	1.000000	0.768617
001	000059	1.000000	0.765957
001	000060	1.000000	0.765957
001	000061	1.000000	0.765957
001	000062	1.000000	0.768617
001	000063	1.000000	0.765957
001	000064	1.000000	0.768617
001	000065	1.000000	0.768617
001	000066	1.000000	0.768617
001	000067	1.000000	0.768617
001	000068	1.000000	0.765957
001	000069	1.000000	0.764628
001	000070	1.000000	0.764628
001	000071	1.000000	0.764628
001	000072	1.000000	0.761968
001	000073	1.000000	0.761968
001	000074	1.000000	0.764628
001	000075	1.000000	0.764628
001	000076	1.000000	0.764628
001	000077	1.000000	0.759309
001	000078	1.000000	0.759309
001	000079	1.000000	0.761968
001	000080	1.000000	0.761968
001	000081	1.000000	0.759309
001	000082	1.000000	0.759309
001	000083	1.000000	0.759309
001	000084	1.000000	0.756649
001	000085	1.000000	0.756649
001	000086	1.000000	0.759309
001	000087	1.000000	0.756649
001	000088	1.000000	0.756649
001	000089	1.000000	0.756649
001	000090	1.000000	0.756649
001	000091	1.000000	0.756649
001	000092	1.000000	0.756649
001	000093	1.000000	0.756649
001	000094	1.000000	0.756649
001	000095	1.000000	0.756649
001	000096	1.000000	0.756649
001	000097	1.000000	0.756649
001	000098	1.000000	0.756649
001	000099	1.000000	0.756649
001	000100	1.000000	0.756649
